t (min),CA0,CA1,CB1,CA2,CB2,error
26.5,20,12.49878741504832,7.4260705424289535,7.804091300781499,11.67826351739527,0.40082612012984736
27.0,20,12.498981428640588,7.433390733088957,7.805315434161291,11.721289697945528,0.3670771874002912
27.5,20,12.499144400058094,7.439990545498496,7.806363107559544,11.760818727509548,0.3361078040558414
28.0,20,12.4992812960488,7.445940154952132,7.807259450355827,11.797117695762015,0.3076935331882553
28.5,20,12.499396288680991,7.451303017219847,7.808026067903774,11.830435508702376,0.2816279495023856
29.0,20,12.499492882492033,7.456136492818722,7.80868152590727,11.86100382362835,0.2577211455330504
29.5,20,12.499574021293308,7.460492416486371,7.80924177001131,11.889037982101822,0.2357983759129719
30.0,20,12.499642177886379,7.464417616115332,7.809720488938831,11.914737931740955,0.2156988243162962
30.5,20,12.499699429424558,7.467954385176982,7.810129428497256,11.938289129514724,0.19727447977066775
31.0,20,12.499747520716628,7.471140912424757,7.810478662880151,11.959863420790784,0.1803891107866337
31.5,20,12.499787917401967,7.474011672425279,7.810776828890989,11.97961988972699,0.1649173272446515
32.0,20,12.499821850617653,7.476597780226869,7.811031328008628,11.997705677730279,0.1507437212504615
32.5,20,12.499850354518829,7.4789273132412415,7.811248500589013,12.014256767660456,0.13776207925511025
33.0,20,12.499874297795817,7.481025603188247,7.811433775946654,12.029398732253876,0.12587465866286934
33.5,20,12.499894410148485,7.482915500737171,7.811591801574771,12.043247445904113,0.11499152294630391
34.0,20,12.499911304524728,7.484617615272363,7.811726554337656,12.055909759481905,0.10502992997134097
34.5,20,12.499925495800772,7.486150532016611,7.8118414360961035,12.067484138321209,0.09591376882401717
35.0,20,12.49993741647265,7.487531008562996,7.811939355900805,12.078061263856515,0.08757304093959316
35.5,20,12.499947429837025,7.488774152695056,7.812022800603941,12.087724599681211,0.07994338177551347
36.0,20,12.499955841063102,7.489893583215772,7.812093895491013,12.096550923018832,0.0729656196529942
36.5,20,12.499962906493005,7.490901575357981,7.812154456318761,12.104610822767986,0.06658536872572893
37.0,20,12.499968841454125,7.491809192211763,7.81220603395706,12.111969165406112,0.06075265332694664
37.5,20,12.499973826821465,7.492626403477834,7.812249952669343,12.1186855301241,0.05542156120226861
38.0,20,12.499978014530031,7.493362192739339,7.812287342924395,12.124814614619634,0.050549923362486045
38.5,20,12.499981532205226,7.494024654337206,7.812319169509495,12.130406613007068,0.046099018489931164
39.0,20,12.499984487052389,7.494621080835799,7.812346255608499,12.135507567310652,0.04203330001066186
39.5,20,12.499986969124008,7.495158041975362,7.812369303416378,12.140159693999676,0.0383201441025784
